HANDLE	BLOCKNAME	KH_O_SAN	L1	L2
'182B3	*U685	S2	2700	3725
'182D5	*U689	S3	3725	5200
'182F7	*U689	S3	3725	5200
'18319	*U705	S1	3725	5650
'1833B	*U685	S2	2700	3725
'1835D	*U704	S1	3725	5200
'1837F	*U702	S1	3725	5200
'183A1	*U696	S1	3750	5650
'183C3	*U689	S3	3725	5200
'183E5	*U693	S6	1750	5200
'18407	*U698	S5	1750	2700
'18429	*U685	S2	2700	3725
'1844B	*U695	S4	1750	5650
'1846D	*U705	S1	3725	5650
'1848F	*U696	S1	3750	5650
'184B1	*U689	S3	3725	5200
'184D3	*U693	S6	1750	5200
'184F5	*U698	S5	1750	2700
'18517	*U685	S2	2700	3725
'18539	*U701	S7	1750	3700
'1855B	*U700	S8	3700	3725
'1859F	*U707	S1	3725	5650
'185C1	*U708	S1	3750	5650
'185E3	*U709	S9	1750	2400
'18605	*U712	S7	3750	5650
