HANDLE	BLOCKNAME	KH_O_SAN	L1	L2
'2A78A8	*U3501	S3	3800	5300
'2A78F8	*U3500	S2	2800	3800
'2A7A2F	*U3494	S4	1800	5800
'2A7A57	*U3495	S1	3800	5800
'2A7AA7	*U3496	S3	3800	5300
'2A7ACF	*U3497	S6	1800	5300
'2A7AF7	*U3498	S5	1800	2800
'2A7B47	*U3499	S7	1800	3800
'2A7EC0	*U3499	S7	1800	3800
'2A7EE8	*U3502	S10	2700	3800
'2A7F58	*U3501	S3	3800	5300
'2A7FA5	*U3500	S2	2800	3800
'2A7FCD	*U3494	S4	1800	5800
'2A7FF5	*U3495	S1	3800	5800
'2A803F	*U3496	S3	3800	5300
'2A8067	*U3497	S6	1800	5300
'2A808F	*U3498	S5	1800	2800
'2A9557	*U3495	S1	3800	5800
'2A957F	*U3495	S1	3800	5800
'2A962D	*U3500	S2	2800	3800
'2A9655	*U3503	S9	1800	2500
'2A96F1	*U3504	S8	3800	3800
'2A9761	*U3500	S2	2800	3800
'2A978F	*U3503	S9	1800	2500
'2A97CF	*U3495	S1.B	3800	5800
'2A97F7	*U3495	S1.A	3800	5800
'2AB23D	*U3505	S11	700	4200
'2AB318	*U3506	S12	700	3600
'2AB38E	*U3506	S12	700	3600
